VCD info: dumpfile soc_sim.vcd opened for output.
[DBG cy=x] mem_valid=1 addr=0x00001024 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000016
[DBG cy=x] mem_valid=1 addr=0x0000006c instr=1 wstrb=0000 wdata=0x00000011 rdata=0x01c31263
[DBG cy=x] mem_valid=1 addr=0x00000070 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0083a303
[DBG cy=x] mem_valid=1 addr=0x00000074 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x02b00e13
[DBG cy=x] mem_valid=1 addr=0x00001028 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x0000002b
[DBG cy=x] mem_valid=1 addr=0x00000078 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x01c31163
[DBG cy=x] mem_valid=1 addr=0x0000007c instr=1 wstrb=0000 wdata=0x00000011 rdata=0x00c3a303
[DBG cy=x] mem_valid=1 addr=0x00000080 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x03200e13
[DBG cy=x] mem_valid=1 addr=0x0000102c instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000032
[DBG cy=x] mem_valid=1 addr=0x00000084 instr=1 wstrb=0000 wdata=0x00000011 rdata=0xffc31fe3
[DBG cy=x] mem_valid=1 addr=0x00000088 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x000013b7
[DBG cy=x] mem_valid=1 addr=0x0000008c instr=1 wstrb=0000 wdata=0x00000011 rdata=0x02038393
[DBG cy=x] mem_valid=1 addr=0x00000090 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0003a303
[DBG cy=x] mem_valid=1 addr=0x00000094 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x01300e13
[DBG cy=x] mem_valid=1 addr=0x00001020 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000013
[DBG cy=x] mem_valid=1 addr=0x00000098 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x05c31263
[DBG cy=x] mem_valid=1 addr=0x0000009c instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0043a303
[DBG cy=x] mem_valid=1 addr=0x000000a0 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x01600e13
[DBG cy=x] mem_valid=1 addr=0x00001024 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000016
[DBG cy=x] mem_valid=1 addr=0x000000a4 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x03c31c63
[DBG cy=x] mem_valid=1 addr=0x000000a8 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x0083a303
[DBG cy=x] mem_valid=1 addr=0x000000ac instr=1 wstrb=0000 wdata=0x00000011 rdata=0x02b00e13
[DBG cy=x] mem_valid=1 addr=0x00001028 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x0000002b
[DBG cy=x] mem_valid=1 addr=0x000000b0 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x03c31663
[DBG cy=x] mem_valid=1 addr=0x000000b4 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x00c3a303
